,rank,name,channel_name,office,official,dimention,voice,fans,video_count,duration,like_count,dislike_count,comment_count,islive,tag_count,view_count_per_video,video_publish_delta,Youtube_days,follow,follower,favourites,tweets_count,mentioned,retweeted,text_len,mention_myself,mention_vtuber,delta_tweet_sec,TW_days,view_count
1519,1520,Y's official channel [バーチャルyoutuber Y],,,個人,三次元,男,182.0,16.0,3807.733333,3.8,0.2,0.3333333333,0.6,4.733333333,66.0,7.314049272,106.9988766,829.0,865.0,10337.0,6294.0,0.74,0.0,46.455,0.005,0.4,1830.844221,106.9977153,1017.0
1520,1521,海水ウオメ,,,,,,176.0,8.0,2800.0,11.5,0.5,1.125,0.375,2.25,107.25,14.41611607,104.1898372,625.0,761.0,6594.0,2125.0,0.4897959184,0.0,43.76530612,0.0,0.20918367350000006,7207.841026000001,104.1857246,863.0
1521,1522,ひみつ組織ウブライ,,,個人,二次元,男,173.0,8.0,1540.0,10.25,0.25,3.375,0.25,11.25,67.75,8.237538029,159.1627654,1094.0,929.0,1858.0,2497.0,0.695,0.0,53.805,0.02,0.41,25592.32663,159.1515695,543.0
1522,1523,市ノ瀬ミナト【バーチャル執事】,,,,,,176.0,2.0,514.0,23.5,0.0,10.5,0.0,1.0,245.5,25.93976852,48.52783489,200.0,484.0,1937.0,1940.0,0.55,0.0,46.55,0.0,0.225,1855.477387,48.47525002,491.0
1523,1524,chショコラ,,,,,,183.0,2.0,126.5,23.5,0.0,2.0,0.0,1.0,171.0,0.9253356481,38.81650387,85.0,649.0,284.0,145.0,0.8,0.0,46.53793103,0.0,0.09655172414,22466.9375,101.6758056,336.0
1524,1525,名の多き少年の物語。,,,,,,173.0,105.0,822.42,5.14,0.4,10.28,0.26,20.5,58.24,2.471022062,702.5501843999998,630.0,554.0,3155.0,705.0,0.35,0.0,66.95,0.005,0.02,45189.38693,496.438757,7365.0
1525,1526,Grimm Project,,,個人,三次元,男,173.0,9.0,1305.444444,20.11111111,0.0,6.888888889,0.1111111111,48.66666667,257.3333333,11.00753328,227.6897215,131.0,245.0,2666.0,1905.0,0.62,0.0,40.55,0.02,0.205,6094.778894,245.0945787,2322.0
1526,1527,仮想妖怪 邪闍,,,個人,二次元,機械,171.0,1.0,70.0,80.0,0.0,9.0,0.0,8.0,1494.0,,110.4498025,374.0,409.0,1644.0,169.0,0.6804733728,0.0,72.79881657,0.0,0.2840236686,59516.8631,122.41874540000002,1495.0
1527,1528,COOLVTuber甘井末彦,,,個人,二次元,男,173.0,26.0,3314.923077,2.8461538460000004,0.8846153845999999,1.0,0.5,3.884615385,44.61538462,4.797993056,122.21896909999998,804.0,829.0,2866.0,2935.0,0.65,0.0,41.24,0.0,0.32,7507.276381999999,122.2278195,1381.0
1528,1529,英天狼(はなふさてんろう),はなふさてんこチャンネル,,個人,二次元,男,178.0,28.0,5732.068966,4.24137931,0.1379310345,0.7586206897,0.7931034483,5.206896552,51.06896552,3.543885169,102.2041428,897.0,898.0,3010.0,4032.0,0.67,0.0,63.745,0.005,0.36,2041.527638,102.218294,1496.0
1529,1530,Charlot(バーチャル格ゲーマー),,,,,,174.0,4.0,2196.25,7.0,0.75,2.75,0.25,3.25,127.25,24.8772608,125.0278928,869.0,680.0,8517.0,6033.0,0.69,0.005,57.01,0.0,0.405,814.5829146000002,129.9943357,513.0
1530,1531,Elise channel,,,,,,170.0,2.0,2978.0,6.0,0.0,0.0,1.0,1.0,89.0,25.96295139,247.3014344,68.0,473.0,163.0,764.0,0.645,0.0,55.18,0.01,0.21,24249.26131,108.6537801,180.0
1531,1532,channel UTATANE,,,,,,169.0,231.0,236.12,1.9,0.08,0.6,0.0,12.0,87.72,5.903054611,1082.25596,2773.0,2079.0,2663.0,4854.0,0.465,0.0,65.195,0.0,0.04,16530.06533,1125.283549,76894.0
1532,1533,今峰鏡,,,個人,二次元,男,180.0,54.0,6345.28,4.42,0.12,0.2,0.66,3.06,65.5,2.367028297,139.4543974,304.0,376.0,1737.0,2811.0,0.74,0.0,78.895,0.0,0.445,1607.758794,639.3485023,3879.0
1533,1534,宮多絆,,,個人,二次元,男,173.0,22.0,2600.3076920000008,10.57692308,0.5384615385,1.923076923,0.5,2.615384615,77.30769231,2.632376852,71.16153859,,,,,,,,,,,,2040.0
1534,1535,とろろ亭の声劇の会,,,,,,166.0,12.0,2538.75,17.58333333,0.8333333333,0.08333333333,1.0,4.166666667,143.25,8.273223906,1048.6414109999996,,,,,,,,,,,,1725.0
1535,1536,ちゃんねる櫛崎,,,,,,170.0,15.0,5905.333333,9.866666667,0.06666666667,1.2,0.8,1.733333333,90.06666667,4.0775380289999985,77.30139969999998,462.0,740.0,1583.0,1236.0,0.53,0.0,36.7,0.0,0.065,4033.055276,64.20161576,1363.0
1536,1537,子羊ちゃんねる,,,個人,三次元,男,175.0,14.0,926.4285714,3.142857143,0.0,0.7142857143000001,0.07142857142999999,1.571428571,54.64285714,5.418912037,97.25445526,2990.0,1970.0,5166.0,5234.0,0.82,0.0,55.85,0.005,0.28,1962.035176,95.71034262,768.0
1537,1538,MIU Channel,,,,,,171.0,4.0,77.5,25.75,0.25,3.75,0.0,1.0,171.0,14.0791358,97.14597146,468.0,424.0,1493.0,858.0,0.775,0.0,46.35,0.0,0.05,8052.432161,94.48515743,691.0
1538,1539,グリムchannel,,,,,,173.0,60.0,9198.42,2.22,0.4,0.34,1.0,1.04,121.6,0.8571312831,97.58181637,,,,,,,,,,,,6962.0
1539,1540,Project Alt,,,個人,三次元,機械,170.0,12.0,104.9166667,13.91666667,0.0,3.083333333,0.0,5.083333333,164.5,10.72297348,131.2755895,211.0,455.0,2958.0,2671.0,0.21,0.0,51.795,0.02,0.095,4466.768844,143.21954399999996,1982.0
1540,1541,バーチャルモドキチャンネル,,,個人,二次元,男,169.0,14.0,4417.214286,8.5,0.0,1.714285714,0.5714285714,2.0,122.3571429,13.07764868,174.20499919999997,887.0,989.0,1662.0,4968.0,0.5326633166,0.0,67.04020101,0.0,0.08542713568,2341.1161620000007,128.32718290000003,1714.0
1541,1542,葉桃仙,,,,,,167.0,15.0,905.0666667000003,9.733333333,0.8666666667,4.266666667,0.1333333333,6.8666666670000005,101.3333333,1.70322338,434.7079275,985.0,1108.0,3926.0,2309.0,0.4141414141,0.0,36.31313131,0.0050505050510000005,0.1767676768,17030.14213,462.0272523,1525.0
1542,1543,くんナガオ,,,,,,168.0,2.0,425.5,47.5,4.5,20.5,0.0,2.5,388.5,44.09019676,108.738784,1847.0,638.0,1586.0,1610.0,0.6,0.0,70.87,0.005,0.005,12135.65829,131.6094977,782.0
1543,1544,冷奴【バーチャルど腐れゴミクソYoutuberクソ豆腐】,,,個人,二次元,男,,,,,,,,,,,,,,,,,,,,,,,
